,Date,Time,X,Y,Habitat,Group_size,SDI,Destination,Threat,DFL,SDI_2,Destination_2,DFL_2,FID,mode,FID_2,mode_2,month,location_number,Season
1,20/02/2019,8:26:00,1673764.035,19996541.77,Fields,4,62,NA,Human,NA,NA,NA,NA,30,Fly,NA,NA,2,1673764.03534294_19996541.7691116,non-nesting
2,20/02/2019,8:40:00,1673764.035,19996541.77,HDH,2,56,NA,Human,NA,NA,NA,NA,16,Fly,NA,NA,2,1673764.03534294_19996541.7691116,non-nesting
3,20/02/2019,8:44:00,1673764.035,19996541.77,HDH,2,76,NA,Human,NA,NA,NA,NA,34,Fly,NA,NA,2,1673764.03534294_19996541.7691116,non-nesting
4,20/02/2019,9:08:00,1673764.045,19996541.75,Ponds,3,47,NA,Human,37,37,NA,5,26,Fly,1,Run,2,1673764.04534294_19996541.7541116,non-nesting
5,20/02/2019,9:21:00,1673764.045,19996541.75,Ponds,2,41,NA,Human,NA,NA,NA,NA,22,Fly,NA,NA,2,1673764.04534294_19996541.7541116,non-nesting
6,20/02/2019,9:23:00,1673764.045,19996541.75,Ponds,1,52,NA,Human,35,NA,NA,50,27,Fly,33,Fly,2,1673764.04534294_19996541.7541116,non-nesting
7,20/02/2019,9:32:00,1673764.045,19996541.76,Ponds,2,77,NA,Human,NA,NA,NA,NA,26,Fly,NA,NA,2,1673764.04534294_19996541.7591116,non-nesting
8,20/02/2019,9:49:00,1673764.03,19996541.76,HDH,2,42,NA,Human,25,25,NA,50,11,Fly,3,Run,2,1673764.03034294_19996541.7591116,non-nesting
9,20/02/2019,10:03:00,1673764.03,19996541.76,HDH,1,37,NA,Human,NA,NA,NA,NA,37,Fly,NA,NA,2,1673764.03034294_19996541.7641116,non-nesting
10,20/02/2019,10:53:00,1673764.01,19996541.81,HDH,2,50,NA,Human,NA,NA,NA,NA,37,Fly,NA,NA,2,1673764.01034294_19996541.8141116,non-nesting
11,20/02/2019,11:17:00,1673764.02,19996541.81,HDH,1,50,NA,Human,NA,NA,NA,NA,27,Fly,NA,NA,2,1673764.02034294_19996541.8091116,non-nesting
12,20/02/2019,11:57:00,1673764,19996541.84,Fields,2,82,NA,Human,NA,NA,NA,NA,35,Fly,NA,NA,2,1673764.00034294_19996541.8391116,non-nesting
13,20/02/2019,12:09:00,1673764,19996541.84,Fields,1,42,NA,Human,NA,NA,NA,NA,42,Fly,NA,NA,2,1673764.00034294_19996541.8391116,non-nesting
14,20/02/2019,12:17:00,1673763.995,19996541.84,Fields,4,53,NA,Human,28,NA,NA,NA,16,Fly,NA,NA,2,1673763.99534294_19996541.8391116,non-nesting
15,20/02/2019,13:22:00,1673764.005,19996541.81,Ponds,2,44,NA,Human,NA,NA,NA,NA,39,Fly,NA,NA,2,1673764.00534294_19996541.8141116,non-nesting
16,20/02/2019,13:31:00,1673764,19996541.81,Ponds,2,57,NA,Human,NA,NA,NA,NA,50,Fly,NA,NA,2,1673764.00034294_19996541.8141116,non-nesting
17,20/02/2019,13:41:00,1673763.995,19996541.81,Ponds,26,46,NA,Human,36,NA,NA,NA,32,Fly,NA,NA,2,1673763.99534294_19996541.8141116,non-nesting
18,20/02/2019,13:55:00,1673764.01,19996541.8,Ponds,2,68,NA,Human,NA,NA,NA,NA,43,Fly,NA,NA,2,1673764.01034294_19996541.8041116,non-nesting
19,20/02/2019,14:03:00,1673764.01,19996541.8,Ponds,2,58,NA,Human,10,NA,NA,NA,58,Fly,NA,NA,2,1673764.01034294_19996541.8041116,non-nesting
20,20/02/2019,15:39:00,1673763.99,19996541.78,HDH,2,42,NA,Human,34,34,NA,1,20,Run,15,Run,2,1673763.99034294_19996541.7841116,non-nesting
21,20/02/2019,16:19:00,1673763.995,19996541.75,Ponds,2,43,NA,Human,30,NA,NA,NA,36,Fly,NA,NA,2,1673763.99534294_19996541.7541116,non-nesting
22,20/02/2019,16:22:00,1673763.995,19996541.75,Ponds,2,65,NA,Human,13,NA,NA,NA,37,Fly,NA,NA,2,1673763.99534294_19996541.7541116,non-nesting
23,20/02/2019,17:01:00,1673763.97,19996541.77,Fields,2,78,NA,Human,NA,NA,NA,NA,38,Fly,NA,NA,2,1673763.97034294_19996541.7741116,non-nesting
24,20/02/2019,17:19:00,1673764.045,19996541.77,Ponds,2,65,NA,Human,3,NA,NA,50,61,Fly,25,Fly,2,1673764.04534294_19996541.7741116,non-nesting
25,20/02/2019,17:23:00,1673764.04,19996541.77,Ponds,2,50,NA,Human,NA,NA,NA,NA,32,Fly,NA,NA,2,1673764.04034294_19996541.7741116,non-nesting
26,26/02/2019,8:51:00,1673764.045,19996541.77,Ponds,2,75,NA,Human,NA,NA,NA,NA,30,Fly,NA,NA,2,1673764.04534294_19996541.7741116,non-nesting
27,26/02/2019,9:03:00,1673764.045,19996541.77,Ponds,2,76,NA,Human,63,NA,NA,50,16,Fly,25,Fly,2,1673764.04534294_19996541.7741116,non-nesting
28,26/02/2019,9:15:00,1673764.045,19996541.78,Ponds,2,60,NA,Human,NA,NA,NA,NA,54,Fly,NA,NA,2,1673764.04534294_19996541.7791116,non-nesting
29,26/02/2019,9:18:00,1673764.045,19996541.78,Ponds,2,75,NA,Human,NA,NA,NA,NA,37,Fly,NA,NA,2,1673764.04534294_19996541.7791116,non-nesting
30,26/02/2019,9:27:00,1673764.045,19996541.78,Ponds,4,102,NA,Human,2,37,NA,50,37,Fly,25,Fly,2,1673764.04534294_19996541.7791116,non-nesting
31,26/02/2019,9:50:00,1673764.045,19996541.78,Ponds,2,91,NA,Human,60,NA,NA,NA,29,Fly,32,Fly,2,1673764.04534294_19996541.7841116,non-nesting
32,26/02/2019,10:05:00,1673764.045,19996541.78,Ponds,2,46,NA,Human,70,40,NA,NA,28,Fly,19,Fly,2,1673764.04534294_19996541.7841116,non-nesting
33,26/02/2019,10:09:00,1673764.045,19996541.78,Ponds,2,59,NA,Human,NA,NA,NA,NA,35,Fly,NA,NA,2,1673764.04534294_19996541.7841116,non-nesting
34,26/02/2019,10:17:00,1673764.045,19996541.78,Ponds,1,62,NA,Human,NA,NA,NA,NA,47,Fly,NA,NA,2,1673764.04534294_19996541.7791116,non-nesting
35,26/02/2019,10:40:00,1673764.055,19996541.78,Ponds,18,93,NA,Human,NA,NA,NA,NA,82,Fly,NA,NA,2,1673764.05534294_19996541.7791116,non-nesting
36,26/02/2019,10:48:00,1673764.055,19996541.78,Ponds,2,41,NA,Human,20,52,NA,60,29,Fly,22,Fly,2,1673764.05534294_19996541.7791116,non-nesting
37,26/02/2019,10:58:00,1673764.06,19996541.78,Ponds,2,60,NA,Human,43,95,NA,NA,42,Fly,42,Fly,2,1673764.06034294_19996541.7791116,non-nesting
38,26/02/2019,11:21:00,1673764.06,19996541.77,Ponds,2,48,NA,Human,94,NA,NA,NA,22,Fly,NA,NA,2,1673764.06034294_19996541.7741116,non-nesting
39,26/02/2019,11:28:00,1673764.06,19996541.77,Ponds,2,42,NA,Human,NA,NA,NA,NA,35,Fly,NA,NA,2,1673764.06034294_19996541.7741116,non-nesting
40,26/02/2019,12:01:00,1673764.04,19996541.79,HDH,1,48,NA,Human,NA,NA,NA,NA,10,Fly,NA,NA,2,1673764.04034294_19996541.7941116,non-nesting
41,26/02/2019,14:21:00,1673764.045,19996541.78,Ponds,2,52,NA,Human,NA,NA,NA,NA,29,Fly,NA,NA,2,1673764.04534294_19996541.7841116,non-nesting
42,26/02/2019,14:30:00,1673764.04,19996541.78,Ponds,2,48,NA,Human,NA,NA,NA,NA,37,Fly,NA,NA,2,1673764.04034294_19996541.7841116,non-nesting
43,26/02/2019,14:51:00,1673764.035,19996541.78,Ponds,2,61,NA,Human,91,NA,NA,NA,40,Fly,NA,NA,2,1673764.03534294_19996541.7841116,non-nesting
44,26/02/2019,14:58:00,1673764.035,19996541.78,Ponds,1,66,NA,Human,48,NA,NA,100,38,Fly,28,Fly,2,1673764.03534294_19996541.7841116,non-nesting
45,26/02/2019,15:06:00,1673764.035,19996541.78,Ponds,1,45,NA,Human,30,NA,NA,NA,31,Fly,43,Fly,2,1673764.03534294_19996541.7841116,non-nesting
46,26/02/2019,15:12:00,1673764.035,19996541.78,Fields,2,61,NA,Human,NA,NA,NA,NA,16,Fly,NA,NA,2,1673764.03534294_19996541.7841116,non-nesting
47,26/02/2019,15:15:00,1673764.035,19996541.78,Fields,2,46,NA,Human,45,NA,NA,NA,29,Fly,42,Fly,2,1673764.03534294_19996541.7841116,non-nesting
48,12/03/2019,8:06:00,1673764.04,19996541.78,Ponds,1,60,Cover,Human,NA,47,Exposed,NA,30,Fly,39,Fly,3,1673764.04034294_19996541.7841116,non-nesting
49,12/03/2019,8:15:00,1673764.04,19996541.78,Ponds,2,70,Cover,Human,NA,NA,NA,NA,33,Fly,NA,NA,3,1673764.04034294_19996541.7841116,non-nesting
50,12/03/2019,8:23:00,1673764.035,19996541.78,Ponds,2,80,Exposed,Human,20,53,Cover,60,23,Fly,20,Fly,3,1673764.03534294_19996541.7841116,non-nesting
51,12/03/2019,8:35:00,1673764.035,19996541.78,Ponds,2,80,Cover,Human,NA,NA,NA,NA,30,Fly,NA,NA,3,1673764.03534294_19996541.7841116,non-nesting
